i: 89000000 	 x: 0.890000 	 y: 3.895640 	 
i: 91000000 	 x: 0.910000 	 y: 3.909391 	 
i: 91000000 	 x: 0.910000 	 y: 3.958750 	 
i: 93000000 	 x: 0.930000 	 y: 3.915613 	 
i: 90000000 	 x: 0.900000 	 y: 3.971708 	 
i: 92000000 	 x: 0.920000 	 y: 3.894306 	 
i: 92000000 	 x: 0.920000 	 y: 3.895242 	 
i: 94000000 	 x: 0.940000 	 y: 3.942718 	 
i: 91000000 	 x: 0.910000 	 y: 3.996228 	 
i: 93000000 	 x: 0.930000 	 y: 3.962810 	 
i: 93000000 	 x: 0.930000 	 y: 3.963855 	 
i: 95000000 	 x: 0.950000 	 y: 3.968159 	 
i: 92000000 	 x: 0.920000 	 y: 3.978080 	 
i: 94000000 	 x: 0.940000 	 y: 4.028050 	 
i: 94000000 	 x: 0.940000 	 y: 3.988397 	 
i: 96000000 	 x: 0.960000 	 y: 3.992060 	 
i: 93000000 	 x: 0.930000 	 y: 4.001187 	 
i: 95000000 	 x: 0.950000 	 y: 3.973312 	 
i: 95000000 	 x: 0.950000 	 y: 4.011279 	 
i: 97000000 	 x: 0.970000 	 y: 3.978477 	 
i: 94000000 	 x: 0.940000 	 y: 4.059475 	 
i: 96000000 	 x: 0.960000 	 y: 3.996992 	 
i: 96000000 	 x: 0.960000 	 y: 4.067512 	 
i: 98000000 	 x: 0.980000 	 y: 4.036399 	 
i: 95000000 	 x: 0.950000 	 y: 4.044206 	 
i: 97000000 	 x: 0.970000 	 y: 4.082829 	 
i: 97000000 	 x: 0.970000 	 y: 4.020898 	 
i: 99000000 	 x: 0.990000 	 y: 4.053751 	 
i: 96000000 	 x: 0.960000 	 y: 4.032446 	 
i: 98000000 	 x: 0.980000 	 y: 4.097184 	 
i: 98000000 	 x: 0.980000 	 y: 4.041342 	 
i: 97000000 	 x: 0.970000 	 y: 4.051846 	 
i: 99000000 	 x: 0.990000 	 y: 4.084267 	 
i: 99000000 	 x: 0.990000 	 y: 4.085989 	 
i: 98000000 	 x: 0.980000 	 y: 4.093887 	 
i: 99000000 	 x: 0.990000 	 y: 4.085124 	 
